Created from ELUT#16_ECC_para_3620_3621.fits at 2025-11-20 12:43:12.627063
 Channel energy edges obtained from elut_creator.py
Offset (ADC),Gain (keV/ADC),Pixel,Detector,ADC Edge #0 - 4 keV,ADC Edge #1 - 5 keV,ADC Edge #2 - 6 keV,ADC Edge #3 - 7 keV,ADC Edge #4 - 8 keV,ADC Edge #5 - 9 keV,ADC Edge #6 - 10 keV,ADC Edge #7 - 11 keV,ADC Edge #8 - 12 keV,ADC Edge #9 - 13 keV,ADC Edge #10 - 14 keV,ADC Edge #11 - 15 keV,ADC Edge #12 - 16 keV,ADC Edge #13 - 18 keV,ADC Edge #14 - 20 keV,ADC Edge #15 - 22 keV,ADC Edge #16 - 25 keV,ADC Edge #17 - 28 keV,ADC Edge #18 - 32 keV,ADC Edge #19 - 36 keV,ADC Edge #20 - 40 keV,ADC Edge #21 - 45 keV,ADC Edge #22 - 50 keV,ADC Edge #23 - 56 keV,ADC Edge #24 - 63 keV,ADC Edge #25 - 70 keV,ADC Edge #26 - 76 keV,ADC Edge #27 - 84 keV,ADC Edge #28 - 100 keV,ADC Edge #29 - 120 keV,ADC Edge #30 - 150 keV
894.9581,0.11082161,0,0,931,940,949,958,967,976,985,994,1003,1012,1021,1030,1039,1057,1075,1093,1121,1148,1184,1220,1256,1301,1346,1400,1463,1527,1581,1653,1797,1978,2248
898.2791,0.11107759,1,0,934,943,952,961,970,979,988,997,1006,1015,1024,1033,1042,1060,1078,1096,1123,1150,1186,1222,1258,1303,1348,1402,1465,1528,1582,1655,1799,1979,2249
896.0095,0.11093538,2,0,932,941,950,959,968,977,986,995,1004,1013,1022,1031,1040,1058,1076,1094,1121,1148,1184,1221,1257,1302,1347,1401,1464,1527,1581,1653,1797,1978,2248
896.76215,0.11168044,3,0,933,942,950,959,968,977,986,995,1004,1013,1022,1031,1040,1058,1076,1094,1121,1147,1183,1219,1255,1300,1344,1398,1461,1524,1577,1649,1792,1971,2240
888.0182,0.11130748,4,0,924,933,942,951,960,969,978,987,996,1005,1014,1023,1032,1050,1068,1086,1113,1140,1176,1211,1247,1292,1337,1391,1454,1517,1571,1643,1786,1966,2236
899.87,0.11214143,5,0,936,944,953,962,971,980,989,998,1007,1016,1025,1034,1043,1060,1078,1096,1123,1150,1185,1221,1257,1301,1346,1399,1462,1524,1578,1649,1792,1970,2237
895.91095,0.110044576,6,0,932,941,950,960,969,978,987,996,1005,1014,1023,1032,1041,1059,1078,1096,1123,1150,1187,1223,1259,1305,1350,1405,1468,1532,1587,1659,1805,1986,2259
888.26227,0.11103951,7,0,924,933,942,951,960,969,978,987,996,1005,1014,1023,1032,1050,1068,1086,1113,1140,1176,1212,1248,1294,1339,1393,1456,1519,1573,1645,1789,1969,2239
886.23724,0.10976647,8,0,923,932,941,950,959,968,977,986,996,1005,1014,1023,1032,1050,1068,1087,1114,1141,1178,1214,1251,1296,1342,1396,1460,1524,1579,1651,1797,1979,2253
899.48645,0.11089753,9,0,936,945,954,963,972,981,990,999,1008,1017,1026,1035,1044,1062,1080,1098,1125,1152,1188,1224,1260,1305,1350,1404,1468,1531,1585,1657,1801,1982,2252
899.7065,0.11118525,10,0,936,945,954,963,972,981,990,999,1008,1017,1026,1035,1044,1062,1080,1098,1125,1152,1188,1223,1259,1304,1349,1403,1466,1529,1583,1655,1799,1979,2249
885.11835,0.111733645,11,0,921,930,939,948,957,966,975,984,993,1001,1010,1019,1028,1046,1064,1082,1109,1136,1172,1207,1243,1288,1333,1386,1449,1512,1565,1637,1780,1959,2228
878.1574,0.109806724,0,1,915,924,933,942,951,960,969,978,987,997,1006,1015,1024,1042,1060,1079,1106,1133,1170,1206,1242,1288,1334,1388,1452,1516,1570,1643,1789,1971,2244
892.0092,0.11135242,1,1,928,937,946,955,964,973,982,991,1000,1009,1018,1027,1036,1054,1072,1090,1117,1143,1179,1215,1251,1296,1341,1395,1458,1521,1575,1646,1790,1970,2239
890.041,0.110708795,2,1,926,935,944,953,962,971,980,989,998,1007,1016,1026,1035,1053,1071,1089,1116,1143,1179,1215,1251,1297,1342,1396,1459,1522,1577,1649,1793,1974,2245
887.4905,0.10989312,3,1,924,933,942,951,960,969,978,988,997,1006,1015,1024,1033,1051,1069,1088,1115,1142,1179,1215,1251,1297,1342,1397,1461,1524,1579,1652,1797,1979,2252
875.683,0.10967266,4,1,912,921,930,940,949,958,967,976,985,994,1003,1012,1022,1040,1058,1076,1104,1131,1167,1204,1240,1286,1332,1386,1450,1514,1569,1642,1787,1970,2243
888.35187,0.10965046,5,1,925,934,943,952,961,970,980,989,998,1007,1016,1025,1034,1053,1071,1089,1116,1144,1180,1217,1253,1299,1344,1399,1463,1527,1581,1654,1800,1983,2256
899.64185,0.11073109,6,1,936,945,954,963,972,981,990,999,1008,1017,1026,1035,1044,1062,1080,1098,1125,1153,1189,1225,1261,1306,1351,1405,1469,1532,1586,1658,1803,1983,2254
886.6484,0.110032775,7,1,923,932,941,950,959,968,978,987,996,1005,1014,1023,1032,1050,1068,1087,1114,1141,1177,1214,1250,1296,1341,1396,1459,1523,1577,1650,1795,1977,2250
880.67566,0.10905531,8,1,917,927,936,945,954,963,972,982,991,1000,1009,1018,1027,1046,1064,1082,1110,1137,1174,1211,1247,1293,1339,1394,1458,1523,1578,1651,1798,1981,2256
878.4357,0.11064773,9,1,915,924,933,942,951,960,969,978,987,996,1005,1014,1023,1041,1059,1077,1104,1131,1168,1204,1240,1285,1330,1385,1448,1511,1565,1638,1782,1963,2234
891.82007,0.11019791,10,1,928,937,946,955,964,973,983,992,1001,1010,1019,1028,1037,1055,1073,1091,1119,1146,1182,1219,1255,1300,1346,1400,1464,1527,1581,1654,1799,1981,2253
887.2604,0.111124866,11,1,923,932,941,950,959,968,977,986,995,1004,1013,1022,1031,1049,1067,1085,1112,1139,1175,1211,1247,1292,1337,1391,1454,1517,1571,1643,1787,1967,2237
895.10126,0.10942009,0,2,932,941,950,959,968,977,986,996,1005,1014,1023,1032,1041,1060,1078,1096,1124,1151,1188,1224,1261,1306,1352,1407,1471,1535,1590,1663,1809,1992,2266
890.5591,0.10929916,1,2,927,936,945,955,964,973,982,991,1000,1009,1019,1028,1037,1055,1074,1092,1119,1147,1183,1220,1257,1302,1348,1403,1467,1531,1586,1659,1805,1988,2263
894.7926,0.10998883,2,2,931,940,949,958,968,977,986,995,1004,1013,1022,1031,1040,1058,1077,1095,1122,1149,1186,1222,1258,1304,1349,1404,1468,1531,1586,1659,1804,1986,2259
895.2584,0.10898726,3,2,932,941,950,959,969,978,987,996,1005,1015,1024,1033,1042,1060,1079,1097,1125,1152,1189,1226,1262,1308,1354,1409,1473,1538,1593,1666,1813,1996,2272
896.1007,0.108629756,4,2,933,942,951,961,970,979,988,997,1007,1016,1025,1034,1043,1062,1080,1099,1126,1154,1191,1228,1264,1310,1356,1412,1476,1540,1596,1669,1817,2001,2277
903.4829,0.10937958,5,2,940,949,958,967,977,986,995,1004,1013,1022,1031,1041,1050,1068,1086,1105,1132,1159,1196,1233,1269,1315,1361,1415,1479,1543,1598,1671,1818,2001,2275
890.87244,0.10871461,6,2,928,937,946,955,964,974,983,992,1001,1010,1020,1029,1038,1056,1075,1093,1121,1148,1185,1222,1259,1305,1351,1406,1470,1535,1590,1664,1811,1995,2271
900.1605,0.1091282,7,2,937,946,955,964,973,983,992,1001,1010,1019,1028,1038,1047,1065,1083,1102,1129,1157,1193,1230,1267,1313,1358,1413,1477,1542,1597,1670,1817,2000,2275
882.82733,0.10905209,8,2,920,929,938,947,956,965,975,984,993,1002,1011,1020,1030,1048,1066,1085,1112,1140,1176,1213,1250,1295,1341,1396,1461,1525,1580,1653,1800,1983,2258
877.3928,0.10809666,9,2,914,924,933,942,951,961,970,979,988,998,1007,1016,1025,1044,1062,1081,1109,1136,1173,1210,1247,1294,1340,1395,1460,1525,1580,1654,1802,1988,2265
896.727,0.10920445,10,2,933,943,952,961,970,979,988,997,1007,1016,1025,1034,1043,1062,1080,1098,1126,1153,1190,1226,1263,1309,1355,1410,1474,1538,1593,1666,1812,1996,2270
901.5251,0.10926256,11,2,938,947,956,966,975,984,993,1002,1011,1021,1030,1039,1048,1066,1085,1103,1130,1158,1194,1231,1268,1313,1359,1414,1478,1542,1597,1670,1817,2000,2274
872.756,0.109243736,0,3,909,919,928,937,946,955,964,973,983,992,1001,1010,1019,1038,1056,1074,1102,1129,1166,1202,1239,1285,1330,1385,1449,1514,1568,1642,1788,1971,2246
873.97144,0.10908808,1,3,911,920,929,938,947,956,966,975,984,993,1002,1011,1021,1039,1057,1076,1103,1131,1167,1204,1241,1286,1332,1387,1451,1516,1571,1644,1791,1974,2249
887.0213,0.10940976,2,3,924,933,942,951,960,969,978,988,997,1006,1015,1024,1033,1052,1070,1088,1116,1143,1179,1216,1253,1298,1344,1399,1463,1527,1582,1655,1801,1984,2258
885.0092,0.10971697,3,3,921,931,940,949,958,967,976,985,994,1003,1013,1022,1031,1049,1067,1086,1113,1140,1177,1213,1250,1295,1341,1395,1459,1523,1578,1651,1796,1979,2252
878.6066,0.10837661,4,3,916,925,934,943,952,962,971,980,989,999,1008,1017,1026,1045,1063,1082,1109,1137,1174,1211,1248,1294,1340,1395,1460,1525,1580,1654,1801,1986,2263
894.94855,0.11000149,5,3,931,940,949,959,968,977,986,995,1004,1013,1022,1031,1040,1059,1077,1095,1122,1149,1186,1222,1259,1304,1349,1404,1468,1531,1586,1659,1804,1986,2259
881.28467,0.109257706,6,3,918,927,936,945,955,964,973,982,991,1000,1009,1019,1028,1046,1064,1083,1110,1138,1174,1211,1247,1293,1339,1394,1458,1522,1577,1650,1797,1980,2254
881.0107,0.10927617,7,3,918,927,936,945,954,963,973,982,991,1000,1009,1018,1027,1046,1064,1082,1110,1137,1174,1210,1247,1293,1339,1393,1458,1522,1576,1650,1796,1979,2254
871.021,0.108683884,8,3,908,917,926,935,945,954,963,972,981,991,1000,1009,1018,1037,1055,1073,1101,1129,1165,1202,1239,1285,1331,1386,1451,1515,1570,1644,1791,1975,2251
877.91144,0.10814176,9,3,915,924,933,943,952,961,970,980,989,998,1007,1017,1026,1044,1063,1081,1109,1137,1174,1211,1248,1294,1340,1396,1460,1525,1581,1655,1803,1988,2265
886.5232,0.10890261,10,3,923,932,942,951,960,969,978,988,997,1006,1015,1024,1033,1052,1070,1089,1116,1144,1180,1217,1254,1300,1346,1401,1465,1529,1584,1658,1805,1988,2264
