subc_n,subc_label,intercept,slope[1/deg]
1,3c,0.2977,0.0235
2,5c,0.1768,-0.0008
3,10a,0.2358,-0.0004
4,8c,0.2381,-0.0028
5,4b,0.1967,0.0066
6,5a,0.1879,0.0065
7,3a,0.2717,0.0231
8,7b,0.2105,-0.0032
9,cfl,0,0
10,bkg,0,0
11,1a,0.1091,0.0230
12,2a,0.1226,0.0154
13,1b,0.0360,0.0087
14,9b,0.2469,0.0015
15,6a,0.1995,0.0074
16,9a,0.2395,0.0031
17,2c,0.1722,0.0186
18,1c,0.0851,0.0227
19,2b,0.0715,0.0089
20,10b,0.2418,-0.0120
21,8a,0.2164,-0.0019
22,10c,0.2457,-0.0010
23,4c,0.2105,0.0143
24,7a,0.1998,-0.0013
25,4a,0.1964,-0.0024
26,8b,0.2254,-0.0013
27,6b,0.1854,-0.0158
28,7c,0.2230,0.0041
29,3b,0.2721,0.0048
30,5b,0.2058,-0.0223
31,6c,0.1973,-0.0031
32,9c,0.2404,0.0059
