subc_n,subc_label,intercept,intercept_error,slope[1/deg],slope_error[1/deg]
1,3c,0.2978,0.0002,0.0235,0.0012
2,5c,0.1768,0.0001,-0.0009,0.0004
3,10a,0.2358,0.0002,-0.0006,0.0007
4,8c,0.2381,0.0002,-0.0029,0.0005
5,4b,0.1967,0.0002,0.0065,0.0007
6,5a,0.1879,0.0001,0.0064,0.0004
7,3a,0.2717,0.0002,0.023,0.0005
8,7b,0.2105,0.0002,-0.0033,0.0006
9,cfl,0.0,0.0,0.0,0.0
10,bkg,0.0,0.0,0.0,0.0
11,1a,0.1165,0.0001,0.0245,0.0004
12,2a,0.1309,0.0001,0.0164,0.0003
13,1b,0.0384,0.0,0.0093,0.0001
14,9b,0.247,0.0002,0.0014,0.0005
15,6a,0.1996,0.0002,0.0073,0.0005
16,9a,0.2396,0.0002,0.0029,0.001
17,2c,0.1839,0.0002,0.0199,0.001
18,1c,0.0908,0.0001,0.0243,0.0004
19,2b,0.0763,0.0001,0.0094,0.0002
20,10b,0.2418,0.0002,-0.012,0.0004
21,8a,0.2164,0.0002,-0.0019,0.0011
22,10c,0.2457,0.0002,-0.0011,0.0008
23,4c,0.2105,0.0002,0.0142,0.0006
24,7a,0.1999,0.0002,-0.0013,0.0007
25,4a,0.1965,0.0002,-0.0024,0.0004
26,8b,0.2255,0.0002,-0.0014,0.0005
27,6b,0.1854,0.0002,-0.0158,0.0008
28,7c,0.2231,0.0002,0.004,0.0004
29,3b,0.2722,0.0002,0.0047,0.0006
30,5b,0.2058,0.0002,-0.0223,0.0011
31,6c,0.1973,0.0002,-0.0032,0.0004
32,9c,0.2404,0.0002,0.0058,0.0006
